player_key,actual_2425,predicted_2425,split
Alexander Isak_SWE,0.62,0.5420675,train
Lautaro Martínez_ARG,0.42,0.44514042,train
Suat Serdar_GER,0.13,0.13722518,train
Cristian Romero_ARG,0.06,0.04946504,train
Brais Méndez_ESP,0.18,0.1675924,train
Mattias Svanberg_SWE,0.22,0.17678308,train
Fran Beltrán_ESP,0.07,0.06035488,train
Federico Valverde_URU,0.18,0.16794327,train
Christoph Baumgartner_AUT,0.11,0.18727925,train
Nico Elvedi_SUI,0.04,0.03875064,train
Antonio Rüdiger_GER,0.0,0.035974532,train
Mateo Kovačić_CRO,0.25,0.08665875,train
Iñigo Martínez_ESP,0.0,0.03025351,train
Aïssa Mandi_ALG,0.0,0.008465224,train
Riccardo Orsolini_ITA,0.58,0.4594536,train
Ludovic Ajorque_FRA,0.47,0.32561934,train
Kyle Walker_ENG,0.0,0.034451824,train
Raphaël Guerreiro_POR,0.23,0.1872083,train
Serhou Guirassy_GUI,0.62,0.5776408,train
Scott McTominay_SCO,0.37,0.2655788,train
Aihen Muñoz_ESP,0.0,0.019574387,train
Mattéo Guendouzi_FRA,0.03,0.05552848,train
Gaëtan Laborde_FRA,0.34,0.33654004,train
Piotr Zieliński_POL,0.0,0.08092252,train
Emerson_BRA,0.0,0.04283292,train
Dwight McNeil_ENG,0.26,0.15366271,train
Andrej Kramarić_CRO,0.26,0.34119278,train
Marcus Rashford_ENG,0.37,0.32536516,train
Kieran Trippier_ENG,0.0,0.009906505,train
Matteo Darmian_ITA,0.15,0.041378364,train
Lucas Digne_FRA,0.0,0.01729372,train
Frenkie de Jong_NED,0.16,0.06727463,train
Cristiano Biraghi_ITA,0.0,0.036436193,train
Jean-Charles Castelletto_CMR,0.0,0.028616793,train
Nayef Aguerd_MAR,0.0,0.03711631,train
James Tarkowski_ENG,0.03,0.03058646,train
Patrik Schick_CZE,1.07,0.7050588,train
Alexandre Lacazette_FRA,0.44,0.4162249,train
Nikola Milenković_SRB,0.14,0.09592182,train
