player_key
Aaron Wan-Bissaka_COD
Aarón Martín_ESP
Abdoulaye Doucouré_MLI
Achraf Hakimi_MAR
Adam Marušić_MNE
Adrien Rabiot_FRA
Adrien Thomasson_FRA
Aihen Muñoz_ESP
Alassane Pléa_FRA
Alban Lafont_CIV
Aleksandr Golovin_RUS
Alessandro Bastoni_ITA
Alessio Romagnoli_ITA
Alex Iwobi_NGA
Alexander Isak_SWE
Alexandre Lacazette_FRA
Alisson_BRA
Alphonso Davies_CAN
Amir Rrahmani_KVX
Andre-Frank Zambo Anguissa_CMR
Andrej Kramarić_CRO
Andy Robertson_SCO
Angeliño_ESP
Ante Budimir_CRO
Anthony Lopes_POR
Antoine Griezmann_FRA
Antonio Rüdiger_GER
Antonio Sanabria_PAR
Aridane Hernández_ESP
Arnaud Nordin_FRA
Ashley Young_ENG
Aurélien Tchouaméni_FRA
Aïssa Mandi_ALG
Babis Lykogiannis_GRE
Baptiste Santamaria_FRA
Benjamin André_FRA
Benjamin Pavard_FRA
Berat Djimsiti_ALB
Bernardo Silva_POR
Borja Mayoral_ESP
Boubacar Kamara_FRA
Boubakary Soumaré_FRA
Boulaye Dia_SEN
Brais Méndez_ESP
Bruno Fernandes_POR
Bryan Cristante_ITA
Bukayo Saka_ENG
Carlos Soler_ESP
Casemiro_BRA
Christian Günter_GER
Christoph Baumgartner_AUT
Christopher Trimmel_AUT
Craig Dawson_ENG
Cristian Romero_ARG
Cristiano Biraghi_ITA
Dan Burn_ENG
Daniel Parejo_ESP
Darko Lazović_SRB
David Soria_ESP
Dayot Upamecano_FRA
Dejan Kulusevski_SWE
Dimitri Foulquier_FRA
Diogo Jota_POR
Djené_TOG
Domingos Duarte_POR
Dominic Calvert-Lewin_ENG
Duje Ćaleta-Car_CRO
Dušan Vlahović_SRB
Dwight McNeil_ENG
Ederson_BRA
Edmond Tapsoba_BFA
Eduardo Camavinga_FRA
Ellyes Skhiri_TUN
Emerson_BRA
Emre Can_GER
Erling Haaland_NOR
Ezri Konsa_ENG
Fabián Ruiz Peña_ESP
Federico Valverde_URU
Ferland Mendy_FRA
Ferrán Torres_ESP
Fikayo Tomori_ENG
Fran Beltrán_ESP
Francesco Acerbi_ITA
Frederic Guilbert_FRA
Frenkie de Jong_NED
Gabriel Magalhães_BRA
Gaëtan Laborde_FRA
Gianluca Mancini_ITA
Gianluigi Donnarumma_ITA
Giovanni Di Lorenzo_ITA
Giuseppe Pezzella_ITA
Granit Xhaka_SUI
Guido Rodríguez_ARG
Guillermo Maripán_CHI
Hakan Çalhanoğlu_TUR
Hans Hateboer_NED
Henrikh Mkhitaryan_ARM
Iago Aspas_ESP
Ibrahima Sissoko_MLI
Igor Zubeldia_ESP
Igor_BRA
Iñaki Williams_GHA
Iñigo Martínez_ESP
Jadon Sancho_ENG
James Maddison_ENG
James Tarkowski_ENG
James Ward-Prowse_ENG
Jan Oblak_SVN
Jean-Charles Castelletto_CMR
Jean-Ricner Bellegarde_HAI
Jeffrey Gouweleeuw_NED
Joachim Andersen_DEN
John McGinn_SCO
Jon Moncayola_ESP
Jonathan Tah_GER
Jordan Ayew_GHA
Jordan Ferri_FRA
Jordan Pickford_ENG
Jordan Veretout_FRA
Joris Chotard_FRA
Joshua Kimmich_GER
José Luis Gayà_ESP
José María Giménez_URU
Jules Koundé_FRA
Julian Brandt_GER
Kai Havertz_GER
Kevin Akpoguma_NGA
Kevin De Bruyne_BEL
Kevin Vogt_GER
Kieran Trippier_ENG
Kiké_ESP
Kingsley Coman_FRA
Koke_ESP
Kyle Walker_ENG
Lautaro Martínez_ARG
Leandro Trossard_BEL
Leon Goretzka_GER
Lewis Dunk_ENG
Lorenzo Pellegrini_ITA
Lucas Digne_FRA
Lucas Höler_GER
Lucas Paquetá_BRA
Ludovic Ajorque_FRA
Ludovic Blas_FRA
Luka Modrić_CRO
Lukas Klostermann_GER
Lukáš Hrádecký_FIN
Mahdi Camara_FRA
Manuel Akanji_SUI
Manuel Lazzari_ITA
Manuel Locatelli_ITA
Manuel Neuer_GER
Marc Cucurella_ESP
Marcos Llorente_ESP
Marcus Rashford_ENG
Marcus Thuram_FRA
Mario Pašalić_CRO
Marius Wolf_GER
Marten de Roon_NED
Marvin Friedrich_GER
Mateo Kovačić_CRO
Mathias Pereira Lage_POR
Mathías Olivera_URU
Mats Hummels_GER
Matteo Darmian_ITA
Matthias Ginter_GER
Matthijs de Ligt_NED
Mattia Zaccagni_ITA
Mattias Svanberg_SWE
Mattéo Guendouzi_FRA
Maximilian Arnold_GER
Maximilian Eggestein_GER
Mike Maignan_FRA
Mikel Merino_ESP
Mikel Oyarzabal_ESP
Mikel Vesga_ESP
Mohamed Salah_EGY
Moses Simon_NGA
Moussa Niakhaté_SEN
Nayef Aguerd_MAR
Neal Maupay_FRA
Nemanja Gudelj_SRB
Nemanja Matić_SRB
Nick Pope_ENG
Nico Elvedi_SUI
Nicolas Pallois_FRA
Nicolò Barella_ITA
Niklas Stark_GER
Nikola Milenković_SRB
Nélson Semedo_POR
Oliver Baumann_GER
Omar Mascarell_EQG
Oriol Romeu_ESP
Pascal Groß_GER
Patrik Schick_CZE
Pau Torres_ESP
Paulo Dybala_ARG
Pavel Kadeřábek_CZE
Pervis Estupiñán_ECU
Phil Foden_ENG
Philipp Lienhart_AUT
Pierre Højbjerg_DEN
Pierre Lees-Melou_FRA
Piotr Zieliński_POL
Rafael Leão_POR
Ramy Bensebaini_ALG
Rani Khedira_TUN
Raphaël Guerreiro_POR
Raphinha_BRA
Rayan Aït-Nouri_ALG
Raúl Albiol_ESP
Remo Freuler_SUI
Riccardo Orsolini_ITA
Ridle Baku_GER
Robert Andrich_GER
Robert Lewandowski_POL
Robin Koch_GER
Robin Le Normand_ESP
Robin Zentner_GER
Rodrigo Bentancur_URU
Rodrigo De Paul_ARG
Rodrygo_BRA
Rolando Mandragora_ITA
Romelu Lukaku_BEL
Ruben Aguilar_FRA
Rubén García_ESP
Rui Silva_POR
Samuel Chukwueze_NGA
Saša Lukić_SRB
Scott McTominay_SCO
Sergio Herrera_ESP
Serhou Guirassy_GUI
Stefan de Vrij_NED
Suat Serdar_GER
Theo Hernández_FRA
Thomas Müller_GER
Timothy Castagne_BEL
Tommaso Augello_ITA
Trent Alexander-Arnold_ENG
Téji Savanier_FRA
Unai López_ESP
Unai Simón_ESP
Vicente Guaita_ESP
Vincenzo Grifo_ITA
Vinicius Júnior_BRA
Wahbi Khazri_TUN
Weston McKennie_USA
William Saliba_FRA
Wojciech Szczęsny_POL
Yangel Herrera_VEN
Yann Sommer_SUI
Yeray Álvarez_ESP
Youri Tielemans_BEL
Youssouf Fofana_FRA
Yunis Abdelhamid_MAR
Yuri Berchiche_ESP
Yves Bissouma_MLI
Álex Berenguer_ESP
Álex Moreno_ESP
Álex Remiro_ESP
Álvaro Morata_ESP
İlkay Gündoğan_GER
Łukasz Skorupski_POL
